"count","results__id","results__challenge_id","results__user_id","results__team_id"
"","4803","98","362","121"
"","4805","99","362","121"
"","4806","88","61","25"
"","4807","100","362","121"
"","4816","104","362","121"
"","4821","98","227","73"
"","4838","83","313","106"
"","4840","73","99","37"
"","4846","60","365","122"
"","4848","72","52","23"
"","4865","106","76","29"
"","4869","68","314","106"
"","4880","99","227","73"
"","4912","72","313","106"
"","4916","79","52","23"
"","4918","60","136","48"
"","4927","120","313","106"
"","4936","65","313","106"
"","4970","101","227","73"
"","4980","102","227","73"
"","5002","95","61","25"
"","5076","95","362","121"
"","5080","64","73","29"
"","5089","65","73","29"
"","5134","60","99","37"
"","5137","104","227","73"
"","5143","81","395","132"
"","5146","108","434","80"
"","5154","109","434","80"
"","5155","100","227","73"
"","5193","88","311","106"
"","5197","58","130","47"
"","5221","91","311","106"
"","5223","78","405","137"
"","5257","72","101","37"
"","5258","108","393","132"
"","5262","32","200","67"
"","5267","82","51","23"
"","5294","85","434","80"
"","5297","96","61","25"
"","5298","91","406","137"
"","5302","86","434","80"
"","5309","87","434","80"
"","5331","88","434","80"
"","5337","89","434","80"
"","5343","59","328","111"
"","5345","90","434","80"
"","5356","109","393","132"
"","5366","32","74","29"
"","5376","58","83","31"
"","5396","78","339","114"
"","5453","50","313","106"
"","5457","112","228","73"
"","5459","56","328","111"
"","5465","115","228","73"
"","5473","116","362","121"
"","5485","74","73","29"
"","5500","118","362","121"
"","5529","109","405","137"
"","5549","50","306","104"
"","5563","62","339","114"
"","5581","51","313","106"
"","5599","63","83","31"
"","5635","75","73","29"
"","5640","92","434","80"
"","5643","119","362","121"
"","5648","120","362","121"
"","5650","114","228","73"
"","5685","79","136","48"
"","5712","88","200","67"
"","5725","110","74","29"
"","5729","93","434","80"
"","5731","73","395","132"
"","5735","94","434","80"
"","5742","95","434","80"
"","5771","97","435","80"
"","5788","98","435","80"
"","5792","99","435","80"
"","5794","100","435","80"
"","5801","116","406","137"
"","5802","101","435","80"
"","5831","110","314","106"
"","5872","120","200","67"
"","5877","108","83","31"
"","5919","117","362","121"
"","5923","73","136","48"
"","5944","104","435","80"
"","5945","116","74","29"
"","5947","117","20","5"
"","5961","103","435","80"
"","5998","110","223","72"
"","6016","79","259","87"
"","6029","88","73","29"
"","6046","63","220","71"
"","6060","86","136","48"
"","6069","88","136","48"
"","6070","58","220","71"
"","6100","114","328","111"
"","6102","82","262","87"
"","6109","63","306","104"
"","6119","86","365","122"
"","6129","59","64","25"
"","6135","83","262","87"
"","6136","85","112","40"
"","6154","82","102","37"
"","6178","96","237","76"
"","6179","74","200","67"
"","6180","86","339","114"
"","6190","82","306","104"
"","6197","87","339","114"
"","6205","72","188","64"
"","6219","89","339","114"
"","6222","90","339","114"
"","6241","102","247","80"
"","6242","92","339","114"
"","6244","93","339","114"
"","6247","94","339","114"
"","6250","83","306","104"
"","6252","95","339","114"
"","6254","96","339","114"
"","6262","97","339","114"
"","6265","98","339","114"
"","6267","91","247","80"
"","6273","99","339","114"
"","6274","100","339","114"
"","6278","101","339","114"
"","6282","102","339","114"
"","6284","58","257","87"
"","6306","59","435","80"
"","6307","104","339","114"
"","6338","67","73","29"
"","6351","78","306","104"
"","6354","86","328","111"
"","6358","62","306","104"
"","6364","66","73","29"
"","6368","62","136","48"
"","6369","96","247","80"
"","6370","88","330","111"
"","6462","111","136","48"
"","6470","113","136","48"
"","6475","62","188","64"
"","6495","109","136","48"
"","6517","108","136","48"
"","6523","78","435","80"
"","6527","34","73","29"
"","6535","86","112","40"
"","6541","56","73","29"
"","6553","83","98","37"
"","6560","87","112","40"
"","6570","88","112","40"
"","6581","111","53","23"
"","6582","89","112","40"
"","6589","113","53","23"
"","6611","90","112","40"
"","6622","68","306","104"
"","6624","128","73","29"
"","6626","116","136","48"
"","6630","118","136","48"
"","6657","120","136","48"
"","6659","119","136","48"
"","6661","91","112","40"
"","6669","110","53","23"
"","6676","121","239","77"
"","6686","92","112","40"
"","6688","93","112","40"
"","6689","94","112","40"
"","6692","95","112","40"
"","6694","72","306","104"
"","6720","78","111","40"
"","6723","91","54","23"
"","6725","62","111","40"
"","6726","114","54","23"
"","6727","97","112","40"
"","6730","99","112","40"
"","6734","100","112","40"
"","6740","101","112","40"
"","6741","102","112","40"
"","6742","98","112","40"
"","6749","103","112","40"
"","6752","104","112","40"
"","6767","92","469","162"
"","6772","112","54","23"
"","6776","115","54","23"
"","6781","91","194","65"
"","6793","93","469","162"
"","6794","94","469","162"
"","6798","91","469","162"
"","6806","56","194","65"
"","6814","83","136","48"
"","6821","56","257","87"
"","6832","91","309","104"
"","6845","60","55","23"
"","6876","82","220","71"
"","6878","65","54","23"
"","6879","87","365","122"
"","6885","85","395","132"
"","6892","88","365","122"
"","6903","89","365","122"
"","6907","90","365","122"
"","6945","95","469","162"
"","6952","110","328","111"
"","6954","92","365","122"
"","6955","128","59","25"
